"filename", "language", "Rust", "comment", "blank", "total"
"d:\playground\SceneGraph\crates\scenegraph-core\src\document.rs", "Rust", 351, 50, 43, 444
"d:\playground\SceneGraph\crates\scenegraph-core\src\edit.rs", "Rust", 207, 81, 19, 307
"d:\playground\SceneGraph\crates\scenegraph-core\src\error.rs", "Rust", 68, 17, 13, 98
"d:\playground\SceneGraph\crates\scenegraph-core\src\lib.rs", "Rust", 19, 20, 3, 42
"d:\playground\SceneGraph\crates\scenegraph-core\src\raw.rs", "Rust", 175, 47, 23, 245
"d:\playground\SceneGraph\crates\scenegraph-core\src\refs.rs", "Rust", 71, 6, 7, 84
"d:\playground\SceneGraph\crates\scenegraph-core\src\scan.rs", "Rust", 145, 53, 15, 213
"d:\playground\SceneGraph\crates\scenegraph-core\src\span.rs", "Rust", 13, 14, 4, 31
"d:\playground\SceneGraph\crates\scenegraph-core\src\tree.rs", "Rust", 140, 15, 18, 173
"d:\playground\SceneGraph\crates\scenegraph-core\src\value.rs", "Rust", 601, 53, 38, 692
"Total", "-", 1790, 356, 183, 2329
